code,name
62,折磨
5g,嘔吐
59,觸手
57,蠻橫嬌羞
52,處男
4y,正太控
4r,出軌
4e,瘙癢
4d,運動
4a,女同接吻
49,性感的
44,美容院
41,處女
40,爛醉如泥的
3x,殘忍畫面
3w,妄想
3v,惡作劇
3t,學校作品
3r,粗暴
3g,通姦
3e,姐妹
3d,雙性人
3c,跳舞
3b,性奴
37,倒追
35,性騷擾
2y,其他
2x,戀腿癖
2v,偷窥
2t,花癡
2r,男同性恋
2e,情侶
2d,戀乳癖
20,亂倫
1y,其他戀物癖
1u,偶像藝人
1i,野外・露出
1e,獵豔
1d,女同性戀
11,企畫
6h,10枚組
5l,性感的
5p,性感的
61,科幻
6i,女優ベスト・総集編
6j,温泉
6k,M男
6l,原作コラボ
6n,16時間以上作品
6o,デカチン・巨根
6p,ファン感謝・訪問
6q,動画
6r,巨尻
6s,ハーレム
6t,日焼け
6u,早漏
6v,キス・接吻
6w,汗だく
77,スマホ専用縦動画
7d,Vシネマ
7c,Don Cipote's choice
7f,アニメ
7g,アクション
7h,イメージビデオ（男性）
7i,孕ませ
7j,ボーイズラブ
7t,ビッチ
7u,特典あり（AVベースボール）
7v,コミック雑誌
7w,時間停止
5w,黑幫成員
5k,童年朋友
5i,公主
5f,亞洲女演員
58,伴侶
4s,講師
4l,婆婆
4h,格鬥家
3o,女檢察官
39,明星臉
38,女主人、女老板
34,模特兒
32,秘書
30,美少女
2z,新娘、年輕妻子
2w,姐姐
2q,格鬥家
2o,車掌小姐
2f,寡婦
2b,千金小姐
2a,白人
29,已婚婦女
27,女醫生
26,各種職業
23,妓女
21,賽車女郎
1x,女大學生
1v,展場女孩
1n,女教師
1k,母親
1c,家教
17,护士
10,蕩婦
z,黑人演員
p,女生
c,女主播
b,高中女生
7,服務生
5r,魔法少女
65,學生（其他）
64,動畫人物
6c,遊戲的真人版
6f,超級女英雄
5v,角色扮演
5u,制服
5h,女戰士
5c,及膝襪
5b,娃娃
56,女忍者
55,女裝人妖
50,內衣
4z,猥褻穿著
4p,兔女郎
4n,貓耳女
4k,女祭司
4i,泡泡襪
3i,制服
3a,緊身衣
2s,裸體圍裙
2m,迷你裙警察
2l,空中小姐
28,連褲襪
1w,身體意識
18,OL
12,和服・喪服
y,體育服
v,內衣
m,水手服
l,學校泳裝
k,旗袍
j,女傭
i,迷你裙
a,校服
9,泳裝
8,眼鏡
1,角色扮演
6b,哥德蘿莉
5x,和服・浴衣
5d,超乳
4x,肌肉
3n,乳房
3k,嬌小的
2k,屁股
2i,高
2g,變性者
22,無毛
1t,胖女人
1f,苗條
15,孕婦
13,成熟的女人
w,蘿莉塔
t,貧乳・微乳
e,巨乳
4w,顏面騎乘
4t,食糞
4j,足交
47,母乳
46,手指插入
45,按摩
42,女上位
3q,舔陰
3l,拳交
3f,深喉
2h,69
24,淫語
1z,潮吹
1s,乳交
1r,排便
1p,飲尿
1o,口交
1j,濫交
19,放尿
x,打手槍
u,吞精
r,肛交
n,顏射
h,自慰
5,顏射
4,中出
6m,肛内中出
51,立即口交
4f,女優按摩棒
4c,子宮頸
4b,催眠
3z,乳液
3y,羞恥
3s,凌辱
3p,拘束
3m,輪姦
3h,插入異物
36,鴨嘴
2u,灌腸
25,監禁
1q,紧缚
1m,強姦
1l,藥物
1h,汽車性愛
1b,SM
1a,糞便
14,玩具
q,跳蛋
d,緊縛
6,按摩棒
3,多P
5m,性愛
5y,假陽具
63,逆強姦
60,合作作品
5z,恐怖
5t,給女性觀眾
5s,教學
5q,DMM專屬
5o,R-15
5n,R-18
5j,戲劇
5e,3D
5a,特效
54,故事集
53,限時降價
4v,複刻版
4u,戲劇
4q,戀愛
4o,高畫質
4m,主觀視角
48,介紹影片
43,4小時以上作品
3u,薄馬賽克
3j,經典
33,首次亮相
31,數位馬賽克
2p,投稿
2n,纪录片
2c,國外進口
1g,第一人稱攝影
16,業餘
s,局部特寫
o,獨立製作
g,DMM獨家
f,單體作品
2,合集
hd,高清
sub,字幕
2j,天堂TV
4g,DVD多士爐
66,AV OPEN 2014 スーパーヘビー
69,AV OPEN 2014 ヘビー級
6a,AV OPEN 2014 ミドル級
,AV OPEN 2015 マニア/フェチ部門
71,AV OPEN 2015 熟女部門
72,AV OPEN 2015 企画部門
73,AV OPEN 2015 乙女部門
74,AV OPEN 2015 素人部門
,AV OPEN 2015 SM/ハード部門
76,AV OPEN 2015 女優部門
7k,AVOPEN2016人妻・熟女部門
7l,AVOPEN2016企画部門
7m,AVOPEN2016ハード部門
7n,AVOPEN2016マニア・フェチ部門
7o,AVOPEN2016乙女部門
7p,AVOPEN2016女優部門
7q,AVOPEN2016ドラマ・ドキュメンタリー部門
7r,AVOPEN2016素人部門
7s,AVOPEN2016バラエティ部門
7x,VR専用
