code,name
hd,高清
sub,字幕
1bc,推薦作品
yz,通姦
3q,淋浴
8q,舌頭
ap,下流
8y,敏感
29,變態
8w,願望
au,慾求不滿
nc,服侍
ee,外遇
19o,訪問
7z,性伴侶
bk,保守
17g,購物
6p,誘惑
eu,出差
xx,煩惱
jm,主動
vr,再會
bd,戀物癖
vn,問題
164,騙奸
ui,鬼混
u4,高手
1cu,順從
v6,密會
sb,做家務
y2,秘密
pm,送貨上門
e5,壓力
t9,處女作
1cw,淫語
gc,問卷
wd,住一宿
12d,眼淚
7d,跪求
7g,求職
8i,婚禮
gre001,第一視角
gre002,洗澡
gre003,首次
gre004,劇情
gre005,約會
gre006,實拍
gre007,同性戀
gre008,幻想
gre009,淫蕩
gre010,旅行
gre011,面試
gre012,喝酒
gre013,尖叫
gre014,新年
gre015,借款
gre016,不忠
gre017,檢查
gre018,羞恥
gre019,勾引
gre020,新人
gre021,推銷
gre153,ブルマ
c,AV女優
2r,情人
yg,丈夫
3,辣妹
1av,S級女優
18,白領
1y,偶像
wc,兒子
13,女僕
jk,老師
bm,夫婦
r5,保健室
18t,朋友
mr,工作人員
o4,明星
m8,同事
11x,面具男
43,上司
165,睡眠系
1a1,奶奶
12r,播音員
pk,鄰居
1co,親人
48,店員
9a,魔女
3r,視訊小姐
5d,大學生
ok,寡婦
ad,小姐
ct,秘書
2e,人妖
1d3,啦啦隊
8d,美容師
sv,岳母
1bx,警察
gre022,熟女
gre023,素人
gre024,人妻
gre025,痴女
gre026,角色扮演
gre027,蘿莉
gre028,姐姐
gre029,模特
gre030,教師
gre031,學生
gre032,少女
gre033,新手
gre034,男友
gre035,護士
gre036,媽媽
gre037,主婦
gre038,孕婦
gre039,女教師
gre040,年輕人妻
gre041,職員
gre042,看護
gre043,外觀相似
gre044,色狼
gre045,醫生
gre046,新婚
gre047,黑人
gre048,空中小姐
2,制服
5x,內衣
19t,休閒裝
gv,水手服
mx,全裸
cd,不穿內褲
3i,和服
ce,不戴胸罩
16w,連衣裙
17y,打底褲
jg,緊身衣
qm,客人
f8,晚禮服
ab,治癒系
88,大衣
1di,裸體襪子
wz,絲帶
14,睡衣
f7,面具
17h,牛仔褲
du,喪服
hm,極小比基尼
1dp,混血
vx,毛衣
1bu,頸鏈
17i,短褲
gre049,美人
gre050,連褲襪
gre051,裙子
gre052,浴衣和服
gre053,泳衣
gre054,網襪
gre055,眼罩
gre056,圍裙
gre057,比基尼
gre058,情趣內衣
gre059,迷你裙
gre060,套裝
gre061,眼鏡
gre062,丁字褲
gre063,陽具腰帶
1da,美肌
zc,屁股
bl,美穴
5g,黑髮
66,嬌小
wy,曬痕
5h,F罩杯
3z,E罩杯
9x,D罩杯
4s,素顏
1dd,貓眼
1b4,捲髮
